                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5868,                 2.9703,                 1.1949,                 0.3049,                0.22653,                0.16194,                0.04828,                    nan,                    nan,                    nan,                0.00048,                0.00048,                0.00048
                      2,                 1.9559,                 1.7581,                0.97191,                0.79652,                0.00117,                0.01229,                0.00694,                    nan,                    nan,                    nan,             0.00096383,             0.00096383,             0.00096383
                      3,                 2.1258,                 1.4053,                0.99728,                0.14152,                0.39085,                0.08113,                0.03037,                    nan,                    nan,                    nan,              0.0014312,              0.0014312,              0.0014312
                      4,                 2.1346,                 1.2914,                 1.0042,                0.20627,                0.40023,                0.12719,                0.04468,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                      5,                 2.0689,                 1.3312,                 1.0169,                0.61509,                 0.5383,                0.47956,                0.21536,                   1.48,                 1.7281,                0.78658,               0.001868,               0.001868,               0.001868
                      6,                 1.9825,                 1.2471,                0.95636,                0.24588,                0.53404,                0.17509,                0.07882,                 1.3711,                 3.6534,                0.73912,               0.001835,               0.001835,               0.001835
                      7,                 1.8752,                  1.221,                0.96664,                0.68425,                0.55516,                 0.5939,                0.25262,                 1.4998,                 1.0211,                0.77776,               0.001802,               0.001802,               0.001802
                      8,                  1.882,                 1.2714,                0.96035,                0.72908,                0.57981,                0.63501,                0.31107,                 1.3012,                 1.0696,                  0.715,               0.001769,               0.001769,               0.001769
                      9,                 1.8645,                  1.228,                0.95295,                0.66904,                0.59859,                0.59593,                0.28427,                 1.2769,                0.97218,                0.70165,               0.001736,               0.001736,               0.001736
                     10,                 1.8361,                 1.2053,                0.94945,                0.66465,                  0.549,                0.61312,                0.25781,                 1.4738,                 1.0035,                0.72523,               0.001703,               0.001703,               0.001703
